id,type,english,burmese,example_en,example_my,pronunciation,audio_url,category
,word,locate,တည်နေရာရှာ၊ တည်ရှိ,Can you help me locate this address?,ဒီလိပ်စာကို ရှာဖွေဖို့ ကူညီပေးနိုင်မလား။,/ləʊˈkeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/locate-us.mp3,everyday
,word,citizen,နိုင်ငံသား,She is a citizen of Myanmar.,သူမက မြန်မာနိုင်ငံသားတစ်ဦးပါ။,/ˈsɪtɪzən/,https://api.dictionaryapi.dev/media/pronunciations/en/citizen-us.mp3,people
,word,temperature,အပူချိန်,The temperature dropped last night.,မနေ့ညက အပူချိန်ကျသွားတယ်။,/ˈtɛmp(ə)ɹətʃə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/temperature-us.mp3,everyday
,word,gold,ရွှေ,She wore a gold necklace.,သူမ ရွှေလည်ဆွဲ ဆွဲထားတယ်။,/ɡɒʊld/,https://api.dictionaryapi.dev/media/pronunciations/en/gold-1-uk.mp3,everyday
,word,domestic,အိမ်တွင်း၊ ပြည်တွင်း,This airline only has domestic flights.,ဒီလေကြောင်းလိုင်းမှာ ပြည်တွင်းလေယာဉ်ခရီးစဉ်တွေပဲ ရှိတယ်။,/dəˈmɛstɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/domestic-us.mp3,everyday
,word,load,ဝန်၊ တင်,The truck is carrying a heavy load.,ကုန်တင်ကားက ဝန်လေးတွေ တင်ဆောင်လာတယ်။,/ləʊd/,https://api.dictionaryapi.dev/media/pronunciations/en/load-us.mp3,everyday
,word,belief,ယုံကြည်ချက်,It's my belief that hard work pays off.,ကြိုးစားအလုပ်လုပ်တာက အကျိုးရှိတယ်ဆိုတာ ကျွန်တော့်ယုံကြည်ချက်ပါ။,/bəˈliːf/,https://api.dictionaryapi.dev/media/pronunciations/en/belief-us.mp3,everyday
,word,troop,တပ်ဖွဲ့,The troops arrived at the border.,တပ်ဖွဲ့တွေ နယ်စပ်ကို ရောက်လာခဲ့တယ်။,/tɹuːp/,https://api.dictionaryapi.dev/media/pronunciations/en/troop-uk.mp3,everyday
,word,technical,နည်းပညာဆိုင်ရာ,He has strong technical skills.,သူ့မှာ ခိုင်မာတဲ့ နည်းပညာဆိုင်ရာ ကျွမ်းကျင်မှု ရှိတယ်။,/ˈtɛk.nɪk.əl/,https://api.dictionaryapi.dev/media/pronunciations/en/technical-us.mp3,everyday
,word,remind,သတိပေး,Please remind me to call her.,သူမကို ဖုန်းဆက်ဖို့ ကျွန်တော့်ကို သတိပေးပါ။,/ɹəˈmaɪnd/,,everyday
,word,arrangement,စီစဉ်မှု,We made an arrangement to meet at the station.,ဘူတာမှာ တွေ့ဖို့ စီစဉ်ထားခဲ့ကြတယ်။,/əˈɹeɪnd͡ʒmənt/,https://api.dictionaryapi.dev/media/pronunciations/en/arrangement-us.mp3,everyday
,word,skin,အရေပြား,Her skin is very soft.,သူမရဲ့ အရေပြားက အရမ်းနူးညံ့တယ်။,/skɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/skin-au.mp3,everyday
,word,prison,အကျဉ်းထောင်,He spent five years in prison.,သူ အကျဉ်းထောင်ထဲမှာ ငါးနှစ် ကုန်ဆုံးခဲ့တယ်။,/ˈpɹɪzən/,https://api.dictionaryapi.dev/media/pronunciations/en/prison-us.mp3,everyday
,word,switch,ခလုတ်၊ ပြောင်း,Please turn off the light switch.,မီးခလုတ်ကို ပိတ်ပေးပါ။,/swɪtʃ/,https://api.dictionaryapi.dev/media/pronunciations/en/switch-us.mp3,everyday
,word,acquire,ရရှိ၊ ဝယ်ယူ,The company acquired a smaller business.,ကုမ္ပဏီက လုပ်ငန်းငယ်တစ်ခုကို ဝယ်ယူရရှိခဲ့တယ်။,/əˈkwaɪə/,https://api.dictionaryapi.dev/media/pronunciations/en/acquire-us.mp3,everyday
,word,corporate,ကော်ပိုရိတ်၊ ကုမ္ပဏီ,She works in the corporate sector.,သူမက ကော်ပိုရိတ်ကဏ္ဍမှာ အလုပ်လုပ်တယ်။,/ˈkɔːp(ə)ɹət/,https://api.dictionaryapi.dev/media/pronunciations/en/corporate-uk.mp3,work-study
,word,fairly,တော်တော်,This test was fairly easy.,ဒီစာမေးပွဲက တော်တော် လွယ်တယ်။,/ˈfɛə(ɹ).li/,https://api.dictionaryapi.dev/media/pronunciations/en/fairly-us.mp3,everyday
,word,wood,သစ်သား,This table is made of wood.,ဒီစားပွဲက သစ်သားနဲ့ လုပ်ထားတာ။,/wʊd/,https://api.dictionaryapi.dev/media/pronunciations/en/wood-1-au.mp3,everyday
,word,participate,ပါဝင်,I want to participate in the competition.,ပြိုင်ပွဲမှာ ပါဝင်ချင်တယ်။,/pɑːˈtɪsɪpeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/participate-us.mp3,everyday
,word,tough,ခက်ခဲ၊ မာကြော,This is a tough question.,ဒါက ခက်ခဲတဲ့ မေးခွန်းတစ်ခုပါ။,/tʌf/,https://api.dictionaryapi.dev/media/pronunciations/en/tough-us.mp3,everyday
,word,tear,မျက်ရည်၊ ဆုတ်,She had tears in her eyes.,သူမမျက်လုံးထဲမှာ မျက်ရည်တွေ ရှိနေတယ်။,,,everyday
,word,representative,ကိုယ်စားလှယ်,He is a sales representative.,သူက အရောင်းကိုယ်စားလှယ်တစ်ယောက်ပါ။,/ˌɹɛpɹɪˈzɛnt(ət)ɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/representative-us.mp3,everyday
,word,capacity,စွမ်းဆောင်ရည်၊ ဝင်ဆံ့မှု,This room has a capacity of one hundred people.,ဒီအခန်းက လူတစ်ရာ ဝင်ဆံ့တဲ့ စွမ်းဆောင်ရည် ရှိတယ်။,/kəˈpæsɪti/,https://api.dictionaryapi.dev/media/pronunciations/en/capacity-us.mp3,everyday
,word,border,နယ်စပ်,The two countries share a long border.,နိုင်ငံနှစ်နိုင်ငံက နယ်စပ်ရှည်ရှည် ချင်းနီးနေကြတယ်။,/ˈbɔədə/,https://api.dictionaryapi.dev/media/pronunciations/en/border-uk.mp3,travel
,word,shake,လှုပ်၊ ခါ,Please shake the bottle before drinking.,မသောက်ခင် ပုလင်းကို လှုပ်ပေးပါ။,/ˈʃeɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/shake-us.mp3,everyday
,word,assessment,အကဲဖြတ်ခြင်း,The teacher gave us an assessment test.,ဆရာမက ကျွန်တော်တို့ကို အကဲဖြတ်စာမေးပွဲ ပေးခဲ့တယ်။,,,everyday
,word,shoe,ဖိနပ်,I need to buy new shoes.,ဖိနပ်အသစ် ဝယ်ဖို့ လိုနေတယ်။,/ʃuː/,https://api.dictionaryapi.dev/media/pronunciations/en/shoe-us.mp3,everyday
,word,ought,သင့်,You ought to see a doctor.,ဆရာဝန်နဲ့ သွားပြသင့်တယ်။,,,everyday
,word,ad,ကြော်ငြာ,I saw an ad for this phone online.,ဒီဖုန်းအတွက် ကြော်ငြာတစ်ခု အွန်လိုင်းမှာ တွေ့ခဲ့တယ်။,/æd/,https://api.dictionaryapi.dev/media/pronunciations/en/ad-us.mp3,everyday
,word,fee,အခကြေးငွေ,There is a small fee for this service.,ဒီဝန်ဆောင်မှုအတွက် အခကြေးငွေ နည်းနည်းရှိတယ်။,/fiː/,https://api.dictionaryapi.dev/media/pronunciations/en/fee-us.mp3,everyday
,word,hall,ခန်းမ,The meeting will be held in the main hall.,အစည်းအဝေးကို အဓိကခန်းမမှာ ကျင်းပမယ်။,/hɔːl/,https://api.dictionaryapi.dev/media/pronunciations/en/hall-us.mp3,everyday
,word,regulation,စည်းမျဉ်းစည်းကမ်း,This company follows strict safety regulations.,ဒီကုမ္ပဏီက တင်းကျပ်တဲ့ ဘေးအန္တရာယ်ကင်းရှင်းရေးစည်းမျဉ်းတွေကို လိုက်နာတယ်။,/ˌɹɛɡjʊˈleɪʃən/,,everyday
,word,escape,လွတ်မြောက်,The prisoner tried to escape.,အကျဉ်းသားက လွတ်မြောက်ဖို့ ကြိုးစားခဲ့တယ်။,/əˈskeɪp/,https://api.dictionaryapi.dev/media/pronunciations/en/escape-us.mp3,everyday
,word,studio,စတူဒီယို,She has an art studio at home.,သူမမှာ အိမ်မှာ အနုပညာစတူဒီယိုတစ်ခု ရှိတယ်။,/ˈstjuːdiəʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/studio-uk.mp3,everyday
,word,proper,သင့်လျော်,Please wear proper shoes for hiking.,တောင်တက်ဖို့ သင့်လျော်တဲ့ ဖိနပ်ဝတ်ပါ။,/ˈpɹɔp.ə/,https://api.dictionaryapi.dev/media/pronunciations/en/proper-us.mp3,everyday
,word,relax,အနားယူ၊ ပြေလျော့,I like to relax on weekends.,စနေတနင်္ဂနွေမှာ အနားယူရတာ ကြိုက်တယ်။,/ɹɪˈlæks/,https://api.dictionaryapi.dev/media/pronunciations/en/relax-us.mp3,everyday
,word,tourist,ခရီးသွား,Many tourists visit Bagan every year.,နှစ်စဉ် ခရီးသွား အများကြီး ပုဂံကို လာလည်ကြတယ်။,/ˈtʊəɹɪst/,,travel
,word,component,အစိတ်အပိုင်း,This is an important component of the engine.,ဒါက အင်ဂျင်ရဲ့ အရေးကြီးတဲ့ အစိတ်အပိုင်းတစ်ခုပါ။,/kʌmˈpoʊnənt/,https://api.dictionaryapi.dev/media/pronunciations/en/component-us.mp3,everyday
,word,afford,တတ်နိုင်,I can't afford this car.,ဒီကားကို ကျွန်တော် ဝယ်နိုင်စွမ်းမရှိဘူး။,/əˈfɔːd/,https://api.dictionaryapi.dev/media/pronunciations/en/afford-us.mp3,food-shopping
,word,lawyer,ရှေ့နေ,She works as a lawyer.,သူမက ရှေ့နေအဖြစ် အလုပ်လုပ်တယ်။,/ˈlɔɪ.ə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/lawyer-us.mp3,everyday
,word,suspect,သံသယရှိ၊ သံသယရှိသူ,The police suspect him of the crime.,ရဲတွေက သူ့ကို ရာဇဝတ်မှုအတွက် သံသယရှိကြတယ်။,/ˈsʌs.pɛkt/,https://api.dictionaryapi.dev/media/pronunciations/en/suspect-us.mp3,everyday
,word,cup,ခွက်,Can I have a cup of tea?,လက်ဖက်ရည် တစ်ခွက် ရနိုင်မလား။,/kʌp/,https://api.dictionaryapi.dev/media/pronunciations/en/cup-uk.mp3,food-shopping
,word,description,ဖော်ပြချက်,The police gave a description of the man.,ရဲတွေက အဲဒီယောက်ျားရဲ့ ဖော်ပြချက်ကို ပေးခဲ့တယ်။,/dɪˈskɹɪpʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/description-us.mp3,conversation
,word,confidence,ယုံကြည်မှု,She spoke with confidence.,သူမ ယုံကြည်မှုနဲ့ ပြောခဲ့တယ်။,/ˈkɒnfɪdəns/,https://api.dictionaryapi.dev/media/pronunciations/en/confidence-us.mp3,feelings
,word,industrial,စက်မှုဆိုင်ရာ,This is an industrial area.,ဒါက စက်မှုဇုန် တစ်ခုပါ။,/ɪnˈdʌstɹɪəl/,https://api.dictionaryapi.dev/media/pronunciations/en/industrial-us.mp3,work-study
,word,complain,တိုင်တန်း၊ ညည်း,He always complains about the weather.,သူ ရာသီဥတုအကြောင်း အမြဲ ညည်းညူတတ်တယ်။,/kəmˈpleɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/complain-us.mp3,conversation
,word,perspective,ရှုထောင့်,Let's look at this from another perspective.,ဒါကို တခြားရှုထောင့်ကနေ ကြည့်ကြရအောင်။,/pɚˈspɛktɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/perspective-us.mp3,everyday
,word,error,အမှား,There is an error in this document.,ဒီစာရွက်စာတမ်းထဲမှာ အမှားတစ်ခု ရှိတယ်။,/ˈɛɹə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/error-us.mp3,everyday
,word,arrest,ဖမ်းဆီး,The police arrested the thief.,ရဲတွေက သူခိုးကို ဖမ်းဆီးခဲ့ကြတယ်။,/əˈɹɛst/,https://api.dictionaryapi.dev/media/pronunciations/en/arrest-us.mp3,everyday
,word,assess,အကဲဖြတ်,We need to assess the damage first.,ပျက်စီးမှုကို အရင် အကဲဖြတ်ဖို့ လိုတယ်။,/əˈsɛs/,https://api.dictionaryapi.dev/media/pronunciations/en/assess-us.mp3,everyday
,word,register,မှတ်ပုံတင်,Please register for the course before Friday.,သောကြာနေ့မတိုင်ခင် ဒီသင်တန်းကို မှတ်ပုံတင်ပါ။,/ˈɹɛdʒ.ɪs.tə/,https://api.dictionaryapi.dev/media/pronunciations/en/register-us.mp3,everyday
,word,asset,ပိုင်ဆိုင်မှု၊ ရံပုံငွေ,Knowledge is a valuable asset.,အသိပညာက တန်ဖိုးရှိတဲ့ ပိုင်ဆိုင်မှုတစ်ခုပါ။,/ˈæsɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/asset-au.mp3,everyday
,word,signal,အချက်ပြ,The driver gave a signal before turning.,ယာဉ်မောင်းက မကွေ့ခင် အချက်ပြခဲ့တယ်။,/ˈsɪɡnəl/,https://api.dictionaryapi.dev/media/pronunciations/en/signal-us.mp3,everyday
,word,finger,လက်ချောင်း,She cut her finger while cooking.,သူမ ချက်ပြုတ်ရင်း လက်ချောင်းလှီးမိတယ်။,/ˈfɪŋəɹ/,https://api.dictionaryapi.dev/media/pronunciations/en/finger-us.mp3,everyday
,word,relevant,သက်ဆိုင်,This information is not relevant to our topic.,ဒီအချက်အလက်က ကျွန်တော်တို့ခေါင်းစဉ်နဲ့ မသက်ဆိုင်ဘူး။,/ˈɹɛləvənt/,,everyday
,word,explore,စူးစမ်းရှာဖွေ,We want to explore the old city.,မြို့ဟောင်းကို စူးစမ်းရှာဖွေချင်တယ်။,/ɪkˈsplɔː/,https://api.dictionaryapi.dev/media/pronunciations/en/explore-us.mp3,everyday
,word,leadership,ခေါင်းဆောင်မှု,She has strong leadership skills.,သူမမှာ ခိုင်မာတဲ့ ခေါင်းဆောင်မှုစွမ်းရည် ရှိတယ်။,/ˈliːdəʃɪp/,,everyday
,word,commitment,ကတိကဝတ်,He made a commitment to finish the project.,သူ ပရောဂျက်ကို ပြီးအောင်လုပ်ဖို့ ကတိကဝတ်ပြုခဲ့တယ်။,,,everyday
,word,wake,နိုး,I usually wake up at six.,ပုံမှန် ခြောက်နာရီမှာ နိုးတယ်။,/ˈweɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/wake-us.mp3,everyday
,word,necessarily,မဖြစ်မနေ,Expensive doesn't necessarily mean good.,ဈေးကြီးတယ်ဆိုတာ ကောင်းတယ်လို့ မဖြစ်မနေ ဆိုလိုတာ မဟုတ်ဘူး။,/ˌnɛsəˈsɛɹəli/,https://api.dictionaryapi.dev/media/pronunciations/en/necessarily-us.mp3,everyday
,word,bright,တောက်ပ၊ ဉာဏ်ကောင်း,She is a bright student.,သူမက ဉာဏ်ကောင်းတဲ့ ကျောင်းသူတစ်ယောက်ပါ။,/bɹaɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/bright-us.mp3,everyday
,word,frame,ဘောင်,I bought a new frame for this photo.,ဒီဓာတ်ပုံအတွက် ဘောင်အသစ်တစ်ခု ဝယ်ခဲ့တယ်။,/fɹeɪm/,https://api.dictionaryapi.dev/media/pronunciations/en/frame-us.mp3,everyday
,word,slowly,ဖြည်းဖြည်း,Please speak slowly.,ဖြည်းဖြည်းချင်း ပြောပါ။,/ˈsləʊli/,https://api.dictionaryapi.dev/media/pronunciations/en/slowly-uk.mp3,everyday
,word,bond,နှောင်ကြိုး၊ ငွေချေးစာချုပ်,They have a close bond with each other.,သူတို့ တစ်ယောက်နဲ့ တစ်ယောက် နီးကပ်တဲ့ ချစ်ကြည်ရေး ရှိတယ်။,/bɒnd/,https://api.dictionaryapi.dev/media/pronunciations/en/bond-us.mp3,everyday
,word,hire,ငှား၊ ခန့်,The company plans to hire more staff.,ကုမ္ပဏီက ဝန်ထမ်းများများ ခန့်ဖို့ စီစဉ်နေတယ်။,/haɪə/,https://api.dictionaryapi.dev/media/pronunciations/en/hire-us.mp3,work-study
,word,hole,အပေါက်,There is a hole in my sock.,ကျွန်တော့်ခြေအိတ်မှာ အပေါက်တစ်ပေါက် ရှိတယ်။,/həʊl/,https://api.dictionaryapi.dev/media/pronunciations/en/hole-au.mp3,everyday
,word,tie,ချည်၊ နက်ကတိုင်,He wore a blue tie to the interview.,သူ အင်တာဗျူးမှာ နက်ကတိုင်အပြာရောင် စည်းသွားတယ်။,/taɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/tie-au.mp3,everyday
,word,internal,အတွင်းပိုင်း,This is for internal use only.,ဒါက အတွင်းပိုင်းသုံးအတွက်သာ ဖြစ်ပါတယ်။,/ɪnˈtɝnəl/,https://api.dictionaryapi.dev/media/pronunciations/en/internal-us.mp3,everyday
,word,chain,ကွင်းဆက်,She wore a gold chain.,သူမ ရွှေကွင်းဆက် ဆွဲထားတယ်။,/ˈt͡ʃeɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/chain-us.mp3,everyday
,word,literature,စာပေ,She studies English literature.,သူမက အင်္ဂလိပ်စာပေ ဆည်းပူးနေတယ်။,/ˈlɪ.tə.ɹɪ.tʃə(ɹ)/,,everyday
,word,victim,သားကောင်၊ ဒုက္ခသည်,The victim was taken to the hospital.,ဒုက္ခသည်ကို ဆေးရုံသို့ ပို့ခဲ့ကြတယ်။,/ˈvɪktəm/,https://api.dictionaryapi.dev/media/pronunciations/en/victim-us.mp3,everyday
,word,threaten,ခြိမ်းခြောက်,Don't threaten me.,ကျွန်တော့်ကို မခြိမ်းခြောက်ပါနဲ့။,/ˈθɹɛt.n̩/,https://api.dictionaryapi.dev/media/pronunciations/en/threaten-us.mp3,everyday
,word,division,ခွဲဝေခြင်း၊ တပ်မ,There was a division of opinion among the team.,အသင်းဝင်တွေကြား ထင်မြင်ချက်ကွဲလွဲမှု ရှိခဲ့တယ်။,/dɪˈvɪʒən/,https://api.dictionaryapi.dev/media/pronunciations/en/division-us.mp3,everyday
,word,secure,လုံခြုံ၊ ရယူ,Make sure the door is secure.,တံခါးကို လုံခြုံအောင် စစ်ဆေးပါ။,/səˈkjɔː(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/secure-us.mp3,everyday
,word,amaze,အံ့ဩစေ,The magic show amazed everyone.,မှော်ပြပွဲက လူတိုင်းကို အံ့ဩစေခဲ့တယ်။,/əˈmeɪz/,https://api.dictionaryapi.dev/media/pronunciations/en/amaze-us.mp3,everyday
,word,device,ကိရိယာ,This is a useful device for cooking.,ဒါက ချက်ပြုတ်ဖို့ အသုံးဝင်တဲ့ ကိရိယာတစ်ခုပါ။,/dəˈvaɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/device-us.mp3,everyday
,word,birth,မွေးဖွားခြင်း,She gave birth to a baby girl.,သူမ ကလေးမလေးတစ်ယောက် မွေးဖွားခဲ့တယ်။,/bɜːθ/,https://api.dictionaryapi.dev/media/pronunciations/en/birth-us.mp3,everyday
,word,forest,သစ်တော,We hiked through the forest.,သစ်တောကို ဖြတ်ပြီး လမ်းလျှောက်ခဲ့ကြတယ်။,/ˈfɒɹɪst/,https://api.dictionaryapi.dev/media/pronunciations/en/forest-uk.mp3,travel
,word,label,တံဆိပ်,Please read the label before you eat this.,ဒါစားခင် တံဆိပ်ကို ဖတ်ပါ။,/ˈleɪbəl/,https://api.dictionaryapi.dev/media/pronunciations/en/label-us.mp3,everyday
,word,root,အမြစ်,The tree's roots are very deep.,သစ်ပင်ရဲ့ အမြစ်တွေက အရမ်းနက်တယ်။,/ɹuːt/,https://api.dictionaryapi.dev/media/pronunciations/en/root-au.mp3,everyday
,word,factory,စက်ရုံ,My father works at a shoe factory.,ကျွန်တော့်အဖေ ဖိနပ်စက်ရုံတစ်ခုမှာ အလုပ်လုပ်တယ်။,/ˈfæktəɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/factory-uk.mp3,work-study
,word,expense,ကုန်ကျစရိတ်,This trip was a big expense for us.,ဒီခရီးက ကျွန်တော်တို့အတွက် ကုန်ကျစရိတ်ကြီးတစ်ခုပါ။,/ɪkˈspɛns/,https://api.dictionaryapi.dev/media/pronunciations/en/expense-us.mp3,everyday
,word,channel,လမ်းကြောင်း၊ ချန်နယ်,Let's change the TV channel.,တီဗီချန်နယ် ပြောင်းကြရအောင်။,/ˈtʃænəl/,https://api.dictionaryapi.dev/media/pronunciations/en/channel-us.mp3,everyday
,word,investigate,စုံစမ်းစစ်ဆေး,The police are investigating the case.,ရဲတွေက ဒီအမှုကို စုံစမ်းစစ်ဆေးနေတယ်။,[ɪn.ˈves.tɪ.ɡeɪ̯t],https://api.dictionaryapi.dev/media/pronunciations/en/investigate-us.mp3,everyday
,word,recommendation,အကြံပြုချက်,Can you give me a recommendation for a good doctor?,ဆရာဝန်ကောင်းကောင်းတစ်ယောက်အတွက် အကြံပြုချက်ပေးနိုင်မလား။,/ˌɹɛkəmənˈdeɪʃən/,,conversation
,word,rank,အဆင့်၊ ရာထူး,He holds a high rank in the army.,သူ့မှာ တပ်မတော်ထဲမှာ ရာထူးအဆင့်မြင့်မြင့် ရှိတယ်။,/ɹæŋk/,https://api.dictionaryapi.dev/media/pronunciations/en/rank-us.mp3,everyday
,word,typical,ပုံမှန်၊ ထုံးစံအတိုင်း,This is a typical Myanmar breakfast.,ဒါက မြန်မာ့ ပုံမှန် မနက်စာတစ်ခုပါ။,/ˈtɪpɪkl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/typical-us.mp3,everyday
,word,west,အနောက်ဘက်,The sun sets in the west.,နေက အနောက်ဘက်ကို ဝင်တယ်။,/wɛst/,https://api.dictionaryapi.dev/media/pronunciations/en/west-uk.mp3,everyday
,word,friendly,ဖော်ရွေ,Our new neighbors are very friendly.,ကျွန်တော်တို့ရဲ့ အိမ်နီးချင်းအသစ်တွေက အရမ်းဖော်ရွေတယ်။,/ˈfɹɛndli/,https://api.dictionaryapi.dev/media/pronunciations/en/friendly-us.mp3,people
,word,resident,နေထိုင်သူ,He is a resident of this town.,သူက ဒီမြို့ရဲ့ နေထိုင်သူတစ်ဦးပါ။,/ˈɹɛzɪd(ə)nt/,https://api.dictionaryapi.dev/media/pronunciations/en/resident-uk.mp3,everyday
,word,provision,ထောက်ပံ့မှု၊ ပြဋ္ဌာန်းချက်,The plan includes provision for extra staff.,အစီအစဉ်မှာ ဝန်ထမ်းအပိုအတွက် ထောက်ပံ့မှု ပါဝင်တယ်။,/pɹəˈvɪʒ.ən/,https://api.dictionaryapi.dev/media/pronunciations/en/provision-us.mp3,everyday
,word,concentrate,အာရုံစူးစိုက်,I need to concentrate on my studies.,ကျွန်တော့်စာကို အာရုံစူးစိုက်ဖို့ လိုတယ်။,/ˈkɒn.sən.tɹeɪt/,,everyday
,word,plenty,များပြား,We have plenty of time.,ကျွန်တော်တို့မှာ အချိန် များများ ရှိတယ်။,/ˈplɛnti/,https://api.dictionaryapi.dev/media/pronunciations/en/plenty-us.mp3,everyday
,word,export,တင်ပို့,This country exports a lot of rice.,ဒီနိုင်ငံက ဆန်အများကြီး တင်ပို့တယ်။,/ˈɛks.pɔːt/,https://api.dictionaryapi.dev/media/pronunciations/en/export-uk.mp3,everyday
,word,entirely,လုံးဝ,I entirely agree with your idea.,မင်းရဲ့အကြံဉာဏ်နဲ့ လုံးဝ သဘောတူတယ်။,/ɪnˈtaɪəli/,https://api.dictionaryapi.dev/media/pronunciations/en/entirely-us.mp3,everyday
,word,strongly,ပြင်းပြင်းထန်ထန်,I strongly recommend this book.,ဒီစာအုပ်ကို ပြင်းပြင်းထန်ထန် အကြံပြုချင်တယ်။,/stɹɑŋli/,https://api.dictionaryapi.dev/media/pronunciations/en/strongly-us.mp3,everyday
,word,bridge,တံတား,We crossed the bridge on foot.,တံတားကို ခြေလျင် ဖြတ်ကူးခဲ့ကြတယ်။,/bɹɪd͡ʒ/,https://api.dictionaryapi.dev/media/pronunciations/en/bridge-us.mp3,everyday
,word,consist,ဖွဲ့စည်းပါဝင်,This team consists of ten people.,ဒီအသင်းက လူဆယ်ယောက်ဖြင့် ဖွဲ့စည်းထားတယ်။,/kənˈsɪst/,https://api.dictionaryapi.dev/media/pronunciations/en/consist-1.mp3,everyday
,word,graduate,ဘွဲ့ရ၊ ကျောင်းပြီး,She will graduate next year.,သူမ လာမည့်နှစ်မှာ ဘွဲ့ရမယ်။,,,work-study
,word,brand,အမှတ်တံဆိပ်,This is my favorite clothing brand.,ဒါက ကျွန်တော် အကြိုက်ဆုံး အဝတ်အထည်အမှတ်တံဆိပ်ပါ။,/bɹand/,https://api.dictionaryapi.dev/media/pronunciations/en/brand-us.mp3,food-shopping
,word,moral,ကိုယ်ကျင့်တရား၊ အဆုံးအမ,The story teaches an important moral lesson.,ဒီပုံပြင်က အရေးကြီးတဲ့ ကိုယ်ကျင့်တရားသင်ခန်းစာကို သင်ပေးတယ်။,/ˈmɒɹəl/,https://api.dictionaryapi.dev/media/pronunciations/en/moral-us.mp3,everyday
,word,insist,အခိုင်အမာဆို,She insisted on paying for the meal.,သူမ အစားအစာအတွက် ကိုယ်တိုင်ပေးမယ်လို့ အခိုင်အမာဆိုခဲ့တယ်။,/ɪnˈsɪst/,https://api.dictionaryapi.dev/media/pronunciations/en/insist-us.mp3,everyday
,word,combination,ပေါင်းစပ်မှု,This is a good combination of colors.,ဒါက အရောင်တွေကို ကောင်းကောင်း ပေါင်းစပ်ထားတာပါ။,/kɒmbɪˈneɪʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/combination-us.mp3,everyday
,word,abuse,အလွဲသုံးစား၊ နှိပ်စက်,It's wrong to abuse animals.,တိရစ္ဆာန်တွေကို နှိပ်စက်တာ မှားတယ်။,/əˈbjuːs/,https://api.dictionaryapi.dev/media/pronunciations/en/abuse-1-us.mp3,everyday
,word,ice,ရေခဲ,Can I have some ice in my drink?,ကျွန်တော့်သောက်စရာထဲ ရေခဲထည့်ပေးလို့ရမလား။,[ʌɪs],https://api.dictionaryapi.dev/media/pronunciations/en/ice-us.mp3,everyday
,word,principal,ကျောင်းအုပ်၊ အဓိက,He is the principal of the school.,သူက ကျောင်းအုပ်ကြီးပါ။,/ˈpɹɪnsəpəl/,https://api.dictionaryapi.dev/media/pronunciations/en/principal-au.mp3,everyday
,word,master,ကျွမ်းကျင်၊ သခင်,She has mastered the art of cooking.,သူမ ချက်ပြုတ်ခြင်းအနုပညာကို ကျွမ်းကျင်စွာ တတ်ကျွမ်းတယ်။,/ˈmastə/,https://api.dictionaryapi.dev/media/pronunciations/en/master-us.mp3,everyday
,word,definitely,သေချာပေါက်,I will definitely come to your party.,မင်းရဲ့ပါတီကို သေချာပေါက် လာမယ်။,/ˈdɛf.nɪt.li/,https://api.dictionaryapi.dev/media/pronunciations/en/definitely-us.mp3,everyday
,word,session,အစည်းအဝေး၊ ကာလ,We have a training session tomorrow.,မနက်ဖြန် လေ့ကျင့်ရေးအစည်းအဝေး ရှိတယ်။,/ˈsɛʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/session-au.mp3,everyday
,word,grade,အဆင့်၊ တန်း,She got a good grade on her exam.,သူမ စာမေးပွဲမှာ အဆင့်ကောင်းကောင်း ရခဲ့တယ်။,/ɡɹeɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/grade-us.mp3,work-study
,word,nevertheless,သို့သော်လည်း,"It was raining; nevertheless, we went out.",မိုးရွာနေတယ်၊ သို့သော်လည်း ကျွန်တော်တို့ အပြင်ထွက်ခဲ့ကြတယ်။,/ˈnɛvəðəlɛs/,https://api.dictionaryapi.dev/media/pronunciations/en/nevertheless-uk.mp3,conversation
